[START] Reading GenBank input...
[START] Loaded 1 record(s).
[RECORD] Processing record 1/1: 1
[CHANGED] standard_name=dnaA CDS | location=635-2054(+) | final_gene=dnaA | final_product=chromosomal replication initiator protein DnaA | resolution=no_change
[CHANGED] standard_name=acpP gene | location=1986355-1986598(+) | final_gene=acpP | final_product=acpP gene | resolution=no_change
[UNCHANGED] standard_name=acpP CDS | location=1986358-1986598(+) | final_gene=acpP | final_product=Acyl carrier protein | resolution=no_change
[UNCHANGED] standard_name=fabF CDS | location=1986675-1987986(+) | final_gene=fabF | final_product=3-oxoacyl-[acyl-carrier-protein] synthase 2 | resolution=no_change
[CHANGED] standard_name=fabF gene | location=1986675-1987986(+) | final_gene=fabF | final_product=fabF gene | resolution=no_change
[UNCHANGED] standard_name=trmB CDS | location=1988147-1988783(-) | final_gene=trmB | final_product=tRNA (guanine-N(7)-)-methyltransferase | resolution=no_change
[CHANGED] standard_name=trmB gene | location=1988147-1988783(-) | final_gene=trmB | final_product=trmB gene | resolution=no_change
[CHANGED] standard_name=urtE CDS | location=1988937-1989654(-) | final_gene=urtE | final_product=urea ABC transporter ATP-binding subunit UrtE | resolution=no_change
[CHANGED] standard_name=urtD CDS | location=1989709-1990489(-) | final_gene=urtD | final_product=urea ABC transporter ATP-binding protein UrtD | resolution=no_change
[CHANGED] standard_name=urtC CDS | location=1990485-1991655(-) | final_gene=urtC | final_product=urea ABC transporter permease subunit UrtC | resolution=no_change
[UNRESOLVED] standard_name=branched-chain amino acid ABC transporter permease CDS | location=1991800-1992949(-) | final_gene=unknown_gene | final_product=branched-chain amino acid ABC transporter permease | resolution=fallback_unknown_gene
[CHANGED] standard_name=urtA CDS | location=1993119-1994442(-) | final_gene=urtA | final_product=urea ABC transporter substrate-binding protein | resolution=no_change
[UNRESOLVED] standard_name=iron uptake porin CDS | location=1994838-1996425(+) | final_gene=unknown_gene | final_product=iron uptake porin | resolution=fallback_unknown_gene
[UNRESOLVED] standard_name=DUF4168 domain-containing protein CDS | location=1996647-1997136(-) | final_gene=unknown_gene | final_product=DUF4168 domain-containing protein | resolution=fallback_unknown_gene
[CHANGED] standard_name=pentapeptide repeat-containing protein CDS | location=1997222-1997795(-) | final_gene=unk5 | final_product=pentapeptide repeat-containing protein | resolution=uniprot_product_to_gene:unk5:15
[UNRESOLVED] standard_name=SagB/ThcOx family dehydrogenase CDS | location=1998720-2000244(+) | final_gene=unknown_gene | final_product=SagB/ThcOx family dehydrogenase | resolution=fallback_unknown_gene
[CHANGED] standard_name=ATP-binding protein CDS | location=2000257-2002252(-) | final_gene=chlL | final_product=ATP-binding protein | resolution=uniprot_product_to_gene:chlL:348,pstB:39,bchL:36,pstB1:18,pstB2:18
[UNCHANGED] standard_name=hemE CDS | location=2003340-2004405(+) | final_gene=hemE | final_product=Uroporphyrinogen decarboxylase | resolution=no_change
[CHANGED] standard_name=hemE gene | location=2003340-2004405(+) | final_gene=hemE | final_product=hemE gene | resolution=no_change
[UNRESOLVED] standard_name=DUF5132 domain-containing protein CDS | location=2004871-2005180(+) | final_gene=unknown_gene | final_product=DUF5132 domain-containing protein | resolution=fallback_unknown_gene
[CHANGED] standard_name=heavy metal translocating P-type ATPase CDS | location=2005777-2008048(-) | final_gene=zntA | final_product=heavy metal translocating P-type ATPase | resolution=uniprot_product_to_gene:zntA:5
[UNRESOLVED] standard_name=HMA2 domain-containing protein CDS | location=2008082-2008955(-) | final_gene=unknown_gene | final_product=HMA2 domain-containing protein | resolution=fallback_unknown_gene
[UNRESOLVED] standard_name=FeoB small GTPase domain-containing protein CDS | location=2009641-2010271(+) | final_gene=unknown_gene | final_product=FeoB small GTPase domain-containing protein | resolution=fallback_unknown_gene
[UNRESOLVED] standard_name=nucleoside recognition domain-containing protein CDS | location=2010339-2011794(+) | final_gene=unknown_gene | final_product=nucleoside recognition domain-containing protein | resolution=fallback_unknown_gene
[CHANGED] standard_name=FeoA family protein CDS | location=2012059-2012290(+) | final_gene=feoA | final_product=FeoA family protein | resolution=uniprot_product_to_gene:feoA:5
[UNRESOLVED] standard_name=DUF2202 domain-containing protein CDS | location=2012416-2013040(+) | final_gene=unknown_gene | final_product=DUF2202 domain-containing protein | resolution=fallback_unknown_gene
[UNRESOLVED] standard_name=NAD-dependent epimerase/dehydratase family protein CDS | location=2013142-2014108(+) | final_gene=unknown_gene | final_product=NAD-dependent epimerase/dehydratase family protein | resolution=fallback_unknown_gene
[UNRESOLVED] standard_name=peptidoglycan-binding protein CDS | location=2014150-2015068(+) | final_gene=unknown_gene | final_product=peptidoglycan-binding protein | resolution=fallback_unknown_gene
[CHANGED] standard_name=response regulator CDS | location=2015164-2015857(+) | final_gene=cheB | final_product=response regulator | resolution=uniprot_product_to_gene:cheB:18,nblR:6,ompR:6,phoB:6,mprA:3
[CHANGED] standard_name=sensor histidine kinase CDS | location=2015947-2017228(-) | final_gene=sasA | final_product=sensor histidine kinase | resolution=uniprot_product_to_gene:sasA:152,hik2:6,rppB:3
[CHANGED] standard_name=response regulator CDS | location=2017563-2020389(-) | final_gene=cheB | final_product=response regulator | resolution=uniprot_product_to_gene:cheB:18,nblR:6,ompR:6,phoB:6,mprA:3
[UNCHANGED] standard_name=glmS CDS | location=2020879-2022793(-) | final_gene=glmS | final_product=Glutamine--fructose-6-phosphate aminotransferase[isomerizing] | resolution=no_change
[CHANGED] standard_name=glmS gene | location=2020879-2022793(-) | final_gene=glmS | final_product=glmS gene | resolution=no_change
[UNRESOLVED] standard_name=16S rRNA (uracil(1498)-N(3))-methyltransferase CDS | location=2023115-2023925(+) | final_gene=unknown_gene | final_product=16S rRNA (uracil(1498)-N(3))-methyltransferase | resolution=fallback_unknown_gene
[UNCHANGED] standard_name=murQ CDS | location=2023998-2024940(+) | final_gene=murQ | final_product=N-acetylmuramic acid 6-phosphate etherase | resolution=no_change
[CHANGED] standard_name=murQ gene | location=2023998-2024940(+) | final_gene=murQ | final_product=murQ gene | resolution=no_change
[UNRESOLVED] standard_name=site-2 protease family protein CDS | location=2025025-2026537(+) | final_gene=unknown_gene | final_product=site-2 protease family protein | resolution=fallback_unknown_gene
[CHANGED] standard_name=diacylglycerol kinase family protein CDS | location=2027105-2027549(-) | final_gene=dgkA | final_product=diacylglycerol kinase family protein | resolution=uniprot_product_to_gene:dgkA:3
[UNCHANGED] standard_name=ybeY CDS | location=2027740-2028376(-) | final_gene=ybeY | final_product=Endoribonuclease YbeY | resolution=no_change
[CHANGED] standard_name=ybeY gene | location=2027740-2028376(-) | final_gene=ybeY | final_product=ybeY gene | resolution=no_change
[UNRESOLVED] standard_name=DUF3285 domain-containing protein CDS | location=2028402-2028579(-) | final_gene=unknown_gene | final_product=DUF3285 domain-containing protein | resolution=fallback_unknown_gene
[CHANGED] standard_name=TrmH family RNA methyltransferase CDS | location=2028712-2029444(-) | final_gene=rlmB | final_product=TrmH family RNA methyltransferase | resolution=uniprot_product_to_gene:rlmB:5
[UNRESOLVED] standard_name=Uma2 family endonuclease CDS | location=2029686-2030364(+) | final_gene=unknown_gene | final_product=Uma2 family endonuclease | resolution=fallback_unknown_gene
[UNRESOLVED] standard_name=SWIM zinc finger family protein CDS | location=2030456-2031377(+) | final_gene=unknown_gene | final_product=SWIM zinc finger family protein | resolution=fallback_unknown_gene
[UNRESOLVED] standard_name=FkbM family methyltransferase CDS | location=2031897-2032740(-) | final_gene=unknown_gene | final_product=FkbM family methyltransferase | resolution=fallback_unknown_gene
[CHANGED] standard_name=SAM-dependent methyltransferase CDS | location=2032942-2061733(-) | final_gene=mysB | final_product=SAM-dependent methyltransferase | resolution=uniprot_product_to_gene:mysB:5
[UNRESOLVED] standard_name=SDR family NAD(P)-dependent oxidoreductase CDS | location=2061735-2070741(-) | final_gene=unknown_gene | final_product=SDR family NAD(P)-dependent oxidoreductase | resolution=fallback_unknown_gene
[UNCHANGED] standard_name=L-threonine 3-dehydrogenase CDS | location=2068571-2075877(-) | final_gene=tdh | final_product=L-threonine 3-dehydrogenase | resolution=no_change
[UNRESOLVED] standard_name=SDR family NAD(P)-dependent oxidoreductase CDS | location=2077112-2085770(-) | final_gene=unknown_gene | final_product=SDR family NAD(P)-dependent oxidoreductase | resolution=fallback_unknown_gene
[CHANGED] standard_name=4'-phosphopantetheinyl transferase superfamily protein CDS | location=2085854-2086604(-) | final_gene=hetI | final_product=4'-phosphopantetheinyl transferase superfamily protein | resolution=uniprot_product_to_gene:hetI:5
[UNRESOLVED] standard_name=acyltransferase domain-containing protein CDS | location=2087191-2088181(-) | final_gene=unknown_gene | final_product=acyltransferase domain-containing protein | resolution=fallback_unknown_gene
[CHANGED] standard_name=fabD CDS | location=2088235-2089108(-) | final_gene=fabD | final_product=ACP S-malonyltransferase | resolution=no_change
[UNRESOLVED] standard_name=condensation domain-containing protein CDS | location=2089365-2090664(-) | final_gene=unknown_gene | final_product=condensation domain-containing protein | resolution=fallback_unknown_gene
[UNRESOLVED] standard_name=patatin-like phospholipase family protein CDS | location=2092160-2093054(-) | final_gene=unknown_gene | final_product=patatin-like phospholipase family protein | resolution=fallback_unknown_gene
[UNRESOLVED] standard_name=LamG domain-containing protein CDS | location=2093220-2094159(-) | final_gene=unknown_gene | final_product=LamG domain-containing protein | resolution=fallback_unknown_gene
[UNRESOLVED] standard_name=ABC1 kinase family protein CDS | location=2094398-2095889(-) | final_gene=unknown_gene | final_product=ABC1 kinase family protein | resolution=fallback_unknown_gene
[CHANGED] standard_name=lepA CDS | location=2098592-2100404(+) | final_gene=lepA | final_product=translation elongation factor 4 | resolution=no_change
[CHANGED] standard_name=response regulator CDS | location=2101016-2104448(+) | final_gene=cheB | final_product=response regulator | resolution=uniprot_product_to_gene:cheB:18,nblR:6,ompR:6,phoB:6,mprA:3
[UNRESOLVED] standard_name=CHAT domain-containing protein CDS | location=2104468-2107246(-) | final_gene=unknown_gene | final_product=CHAT domain-containing protein | resolution=fallback_unknown_gene
[CHANGED] standard_name=4-hydroxybenzoate solanesyltransferase CDS | location=2107350-2108226(-) | final_gene=plqA | final_product=4-hydroxybenzoate solanesyltransferase | resolution=uniprot_product_to_gene:plqA:725,ubiA:260,mstC:5
[UNCHANGED] standard_name=purS CDS | location=2108250-2108505(-) | final_gene=purS | final_product=Phosphoribosylformylglycinamidine synthase subunit PurS | resolution=no_change
[CHANGED] standard_name=purS gene | location=2108250-2108505(-) | final_gene=purS | final_product=purS gene | resolution=no_change
[CHANGED] standard_name=rbsK CDS | location=2109528-2110467(-) | final_gene=rbsK | final_product=ribokinase | resolution=no_change
[CHANGED] standard_name=thrB CDS | location=2110529-2111444(-) | final_gene=thrB | final_product=homoserine kinase | resolution=no_change
[UNRESOLVED] standard_name=HAD-IA family hydrolase CDS | location=2111512-2112169(-) | final_gene=unknown_gene | final_product=HAD-IA family hydrolase | resolution=fallback_unknown_gene
[CHANGED] standard_name=lipid kinase CDS | location=2112196-2113147(-) | final_gene=bmrU | final_product=lipid kinase | resolution=uniprot_product_to_gene:bmrU:15
[UNRESOLVED] standard_name=cupin domain-containing protein CDS | location=2113335-2113806(+) | final_gene=unknown_gene | final_product=cupin domain-containing protein | resolution=fallback_unknown_gene
[UNRESOLVED] standard_name=nuclear transport factor 2 family protein CDS | location=2113851-2114211(+) | final_gene=unknown_gene | final_product=nuclear transport factor 2 family protein | resolution=fallback_unknown_gene
[UNRESOLVED] standard_name=MEKHLA domain-containing protein CDS | location=2114442-2114937(-) | final_gene=unknown_gene | final_product=MEKHLA domain-containing protein | resolution=fallback_unknown_gene
[CHANGED] standard_name=rhodanese-related sulfurtransferase CDS | location=2114933-2115737(-) | final_gene=pspE | final_product=rhodanese-related sulfurtransferase | resolution=uniprot_product_to_gene:pspE:5
[CHANGED] standard_name=dtd CDS | location=2115909-2116356(-) | final_gene=dtd | final_product=D-aminoacyl-tRNA deacylase | resolution=no_change
[UNCHANGED] standard_name=paeR7IR CDS | location=2116406-2117093(-) | final_gene=paeR7IR | final_product=Type-2 restriction enzyme PaeR7I | resolution=no_change
[UNRESOLVED] standard_name=CRR6 family NdhI maturation factor CDS | location=2118346-2118826(-) | final_gene=unknown_gene | final_product=CRR6 family NdhI maturation factor | resolution=fallback_unknown_gene
[UNRESOLVED] standard_name=DUF2808 domain-containing protein CDS | location=2119408-2119975(+) | final_gene=unknown_gene | final_product=DUF2808 domain-containing protein | resolution=fallback_unknown_gene
[UNRESOLVED] standard_name=HhoA/HhoB/HtrA family serine endopeptidase CDS | location=2120272-2121538(+) | final_gene=unknown_gene | final_product=HhoA/HhoB/HtrA family serine endopeptidase | resolution=fallback_unknown_gene
[CHANGED] standard_name=pentapeptide repeat-containing protein CDS | location=2122465-2122999(-) | final_gene=unk5 | final_product=pentapeptide repeat-containing protein | resolution=uniprot_product_to_gene:unk5:15
[UNCHANGED] standard_name=coaE CDS | location=2123123-2123711(+) | final_gene=coaE | final_product=Dephospho-CoA kinase | resolution=no_change
[CHANGED] standard_name=coaE gene | location=2123123-2123711(+) | final_gene=coaE | final_product=coaE gene | resolution=no_change
[CHANGED] standard_name=arsS CDS | location=2123765-2124770(+) | final_gene=arsS | final_product=arsenosugar biosynthesis radical SAM (seleno)protein ArsS | resolution=no_change
[UNRESOLVED] standard_name=DUF3531 family protein CDS | location=2124824-2125274(+) | final_gene=unknown_gene | final_product=DUF3531 family protein | resolution=fallback_unknown_gene
[UNRESOLVED] standard_name=chloride channel protein CDS | location=2125289-2128004(-) | final_gene=unknown_gene | final_product=chloride channel protein | resolution=fallback_unknown_gene
[UNRESOLVED] standard_name=DUF309 domain-containing protein CDS | location=2128238-2128709(-) | final_gene=unknown_gene | final_product=DUF309 domain-containing protein | resolution=fallback_unknown_gene
[CHANGED] standard_name=crtD CDS | location=2133622-2135176(-) | final_gene=crtD | final_product=C-3',4' desaturase CrtD | resolution=no_change
[UNRESOLVED] standard_name=Uma2 family endonuclease CDS | location=2136143-2136722(+) | final_gene=unknown_gene | final_product=Uma2 family endonuclease | resolution=fallback_unknown_gene
[CHANGED] standard_name=ABC transporter ATP-binding protein CDS | location=2136792-2138022(+) | final_gene=cbiO | final_product=ABC transporter ATP-binding protein | resolution=uniprot_product_to_gene:cbiO:20,yfmR:18,salX:12,hlyB:6,ecfA1:5
[UNRESOLVED] standard_name=Uma2 family endonuclease CDS | location=2138073-2138652(+) | final_gene=unknown_gene | final_product=Uma2 family endonuclease | resolution=fallback_unknown_gene
[CHANGED] standard_name=ribonuclease HII CDS | location=2138632-2139385(-) | final_gene=rnhB | final_product=ribonuclease HII | resolution=uniprot_product_to_gene:rnhB:980,rhnB:20
[UNRESOLVED] standard_name=Rne/Rng family ribonuclease CDS | location=2139332-2141414(-) | final_gene=unknown_gene | final_product=Rne/Rng family ribonuclease | resolution=fallback_unknown_gene
[UNRESOLVED] standard_name=TIGR03960 family B12-binding radical SAM protein CDS | location=2142410-2145068(-) | final_gene=unknown_gene | final_product=TIGR03960 family B12-binding radical SAM protein | resolution=fallback_unknown_gene
[UNRESOLVED] standard_name=tRNA-Val gene | location=2146402-2146474(+) | final_gene=unknown_gene | final_product=tRNA-Val gene | resolution=fallback_unknown_gene
[UNCHANGED] standard_name=rsmB CDS | location=2147537-2149076(-) | final_gene=rsmB | final_product=Ribosomal RNA small subunit methyltransferase B | resolution=no_change
[CHANGED] standard_name=rsmB gene | location=2147537-2149076(-) | final_gene=rsmB | final_product=rsmB gene | resolution=no_change
[UNRESOLVED] standard_name=alternative oxidase CDS | location=2149276-2150002(-) | final_gene=unknown_gene | final_product=alternative oxidase | resolution=fallback_unknown_gene
[UNRESOLVED] standard_name=lysostaphin resistance A-like protein CDS | location=2150609-2152304(+) | final_gene=unknown_gene | final_product=lysostaphin resistance A-like protein | resolution=fallback_unknown_gene
[UNRESOLVED] standard_name=DUF975 family protein CDS | location=2152495-2153242(+) | final_gene=unknown_gene | final_product=DUF975 family protein | resolution=fallback_unknown_gene
[UNCHANGED] standard_name=sfsA CDS | location=2153589-2154387(+) | final_gene=sfsA | final_product=Sugar fermentation stimulation protein A | resolution=no_change
[CHANGED] standard_name=sfsA gene | location=2153589-2154387(+) | final_gene=sfsA | final_product=sfsA gene | resolution=no_change
[CHANGED] standard_name=rrf gene | location=2154509-2154626(-) | final_gene=rrf | final_product=rrf gene | resolution=no_change
[UNRESOLVED] standard_name=23S rRNA gene | location=2154707-2157520(-) | final_gene=unknown_gene | final_product=23S rRNA gene | resolution=fallback_unknown_gene
[UNRESOLVED] standard_name=tRNA-Ile gene | location=2157717-2157791(-) | final_gene=unknown_gene | final_product=tRNA-Ile gene | resolution=fallback_unknown_gene
[UNRESOLVED] standard_name=16S rRNA gene | location=2157923-2159409(-) | final_gene=unknown_gene | final_product=16S rRNA gene | resolution=fallback_unknown_gene
[UNCHANGED] standard_name=nadC CDS | location=2159843-2160725(+) | final_gene=nadC | final_product=putative nicotinate-nucleotide pyrophosphorylase[carboxylating] | resolution=no_change
[CHANGED] standard_name=nadC gene | location=2159843-2160725(+) | final_gene=nadC | final_product=nadC gene | resolution=no_change
[CHANGED] standard_name=pentapeptide repeat-containing protein CDS | location=2160866-2162438(-) | final_gene=unk5 | final_product=pentapeptide repeat-containing protein | resolution=uniprot_product_to_gene:unk5:15
[CHANGED] standard_name=pheT CDS | location=2163497-2165984(+) | final_gene=pheT | final_product=phenylalanine--tRNA ligase subunit beta | resolution=no_change
[UNRESOLVED] standard_name=SGNH/GDSL hydrolase family protein CDS | location=2166008-2166962(-) | final_gene=unknown_gene | final_product=SGNH/GDSL hydrolase family protein | resolution=fallback_unknown_gene
[CHANGED] standard_name=NAD(P)H-quinone oxidoreductase subunit N CDS | location=2167655-2168129(-) | final_gene=ndhN | final_product=NAD(P)H-quinone oxidoreductase subunit N | resolution=uniprot_product_to_gene:ndhN:1000
[UNCHANGED] standard_name=priA CDS | location=2171267-2173736(+) | final_gene=priA | final_product=Primosomal protein N' | resolution=no_change
[CHANGED] standard_name=priA gene | location=2171267-2173736(+) | final_gene=priA | final_product=priA gene | resolution=no_change
[UNRESOLVED] standard_name=Uma2 family endonuclease CDS | location=2173991-2174582(+) | final_gene=unknown_gene | final_product=Uma2 family endonuclease | resolution=fallback_unknown_gene
[UNRESOLVED] standard_name=low molecular weight protein tyrosine phosphatase family protein CDS | location=2174654-2174987(-) | final_gene=unknown_gene | final_product=low molecular weight protein tyrosine phosphatase family protein | resolution=fallback_unknown_gene
[CHANGED] standard_name=transposase CDS | location=2175156-2175741(-) | final_gene=tnpB | final_product=transposase | resolution=uniprot_product_to_gene:tnpB:5
[CHANGED] standard_name=acnB CDS | location=2175917-2178509(-) | final_gene=acnB | final_product=bifunctional aconitate hydratase 2/2-methylisocitrate dehydratase | resolution=no_change
[UNRESOLVED] standard_name=type II toxin-antitoxin system VapC family toxin CDS | location=2183541-2183961(+) | final_gene=unknown_gene | final_product=type II toxin-antitoxin system VapC family toxin | resolution=fallback_unknown_gene
[UNRESOLVED] standard_name=GUN4 domain-containing protein CDS | location=2184116-2185001(-) | final_gene=unknown_gene | final_product=GUN4 domain-containing protein | resolution=fallback_unknown_gene
[UNRESOLVED] standard_name=alpha/beta fold hydrolase CDS | location=2186111-2186966(+) | final_gene=unknown_gene | final_product=alpha/beta fold hydrolase | resolution=fallback_unknown_gene
[CHANGED] standard_name=photosystem II protein PsbQ CDS | location=2187076-2187514(+) | final_gene=psbQ | final_product=photosystem II protein PsbQ | resolution=uniprot_product_to_gene:psbQ:620
[UNRESOLVED] standard_name=DUF86 domain-containing protein CDS | location=2187643-2187985(-) | final_gene=unknown_gene | final_product=DUF86 domain-containing protein | resolution=fallback_unknown_gene
[UNRESOLVED] standard_name=NAD(P)/FAD-dependent oxidoreductase CDS | location=2189813-2190932(+) | final_gene=unknown_gene | final_product=NAD(P)/FAD-dependent oxidoreductase | resolution=fallback_unknown_gene
[CHANGED] standard_name=htpG CDS | location=2191026-2193003(+) | final_gene=htpG | final_product=molecular chaperone HtpG | resolution=no_change
[UNRESOLVED] standard_name=MYXO-CTERM sorting domain-containing protein CDS | location=2193210-2193915(-) | final_gene=unknown_gene | final_product=MYXO-CTERM sorting domain-containing protein | resolution=fallback_unknown_gene
[UNCHANGED] standard_name=purB CDS | location=2194014-2195310(-) | final_gene=purB | final_product=Adenylosuccinate lyase | resolution=no_change
[CHANGED] standard_name=purB gene | location=2194014-2195310(-) | final_gene=purB | final_product=purB gene | resolution=no_change
[UNRESOLVED] standard_name=divergent PAP2 family protein CDS | location=2195475-2195934(-) | final_gene=unknown_gene | final_product=divergent PAP2 family protein | resolution=fallback_unknown_gene
[CHANGED] standard_name=crtE CDS | location=2196076-2196994(-) | final_gene=crtE | final_product=geranylgeranyl diphosphate synthase CrtE | resolution=no_change
[UNCHANGED] standard_name=folD CDS | location=2197510-2198377(-) | final_gene=folD | final_product=Bifunctional protein FolD protein | resolution=no_change
[CHANGED] standard_name=folD gene | location=2197510-2198377(-) | final_gene=folD | final_product=folD gene | resolution=no_change
[UNRESOLVED] standard_name=NUDIX domain-containing protein CDS | location=2199131-2199575(+) | final_gene=unknown_gene | final_product=NUDIX domain-containing protein | resolution=fallback_unknown_gene
[UNRESOLVED] standard_name=YkvA family protein CDS | location=2199698-2200001(-) | final_gene=unknown_gene | final_product=YkvA family protein | resolution=fallback_unknown_gene
[UNRESOLVED] standard_name=GDP-L-fucose synthase family protein CDS | location=2200134-2201085(-) | final_gene=unknown_gene | final_product=GDP-L-fucose synthase family protein | resolution=fallback_unknown_gene
[UNRESOLVED] standard_name=DUF2214 family protein CDS | location=2201434-2201881(+) | final_gene=unknown_gene | final_product=DUF2214 family protein | resolution=fallback_unknown_gene
[UNRESOLVED] standard_name=YbhN family protein CDS | location=2202043-2202988(+) | final_gene=unknown_gene | final_product=YbhN family protein | resolution=fallback_unknown_gene
[UNRESOLVED] standard_name=MurT ligase domain-containing protein CDS | location=2203119-2204481(+) | final_gene=unknown_gene | final_product=MurT ligase domain-containing protein | resolution=fallback_unknown_gene
[CHANGED] standard_name=tetratricopeptide repeat protein CDS | location=2204732-2206325(+) | final_gene=fxsT | final_product=tetratricopeptide repeat protein | resolution=uniprot_product_to_gene:fxsT:3
[CHANGED] standard_name=tetratricopeptide repeat protein CDS | location=2206385-2208029(+) | final_gene=fxsT | final_product=tetratricopeptide repeat protein | resolution=uniprot_product_to_gene:fxsT:3
[UNRESOLVED] standard_name=type 1 glutamine amidotransferase CDS | location=2208072-2208879(+) | final_gene=unknown_gene | final_product=type 1 glutamine amidotransferase | resolution=fallback_unknown_gene
[UNRESOLVED] standard_name=GumC family protein CDS | location=2209815-2212038(-) | final_gene=unknown_gene | final_product=GumC family protein | resolution=fallback_unknown_gene
[UNRESOLVED] standard_name=DUF2996 domain-containing protein CDS | location=2212637-2213093(+) | final_gene=unknown_gene | final_product=DUF2996 domain-containing protein | resolution=fallback_unknown_gene
[UNRESOLVED] standard_name=tRNA-Arg gene | location=2213425-2213498(-) | final_gene=unknown_gene | final_product=tRNA-Arg gene | resolution=fallback_unknown_gene
[UNCHANGED] standard_name=moaC CDS | location=2213557-2214136(+) | final_gene=moaC | final_product=Cyclic pyranopterin monophosphate synthase | resolution=no_change
[CHANGED] standard_name=moaC gene | location=2213557-2214136(+) | final_gene=moaC | final_product=moaC gene | resolution=no_change
[CHANGED] standard_name=glgB CDS | location=2214621-2216925(+) | final_gene=glgB | final_product=1,4-alpha-glucan branching enzyme | resolution=no_change
[UNCHANGED] standard_name=rpsO CDS | location=2217105-2217375(+) | final_gene=rpsO | final_product=30S ribosomal protein S15 | resolution=no_change
[CHANGED] standard_name=rpsO gene | location=2217105-2217375(+) | final_gene=rpsO | final_product=rpsO gene | resolution=no_change
[UNRESOLVED] standard_name=PAM68 family protein CDS | location=2217390-2217948(+) | final_gene=unknown_gene | final_product=PAM68 family protein | resolution=fallback_unknown_gene
[CHANGED] standard_name=aroF CDS | location=2218200-2219265(+) | final_gene=aroF | final_product=3-deoxy-7-phosphoheptulonate synthase | resolution=no_change
[CHANGED] standard_name=N-acetylmannosamine-6-phosphate 2-epimerase CDS | location=2219575-2220274(-) | final_gene=nanE | final_product=N-acetylmannosamine-6-phosphate 2-epimerase | resolution=uniprot_product_to_gene:nanE:591,nanP:3
[CHANGED] standard_name=tetratricopeptide repeat protein CDS | location=2220601-2221894(+) | final_gene=fxsT | final_product=tetratricopeptide repeat protein | resolution=uniprot_product_to_gene:fxsT:3
[UNCHANGED] standard_name=hetR CDS | location=2221942-2222878(-) | final_gene=hetR | final_product=Heterocyst differentiation control protein | resolution=no_change
[CHANGED] standard_name=hetR gene | location=2221942-2222899(-) | final_gene=hetR | final_product=hetR gene | resolution=no_change
[UNRESOLVED] standard_name=GNAT family N-acetyltransferase CDS | location=2224768-2225293(+) | final_gene=unknown_gene | final_product=GNAT family N-acetyltransferase | resolution=fallback_unknown_gene
[UNRESOLVED] standard_name=tRNA-Pro gene | location=2225440-2225514(+) | final_gene=unknown_gene | final_product=tRNA-Pro gene | resolution=fallback_unknown_gene
[UNCHANGED] standard_name=lysA CDS | location=2226377-2227808(+) | final_gene=lysA | final_product=Diaminopimelate decarboxylase | resolution=no_change
[CHANGED] standard_name=lysA gene | location=2226377-2227808(+) | final_gene=lysA | final_product=lysA gene | resolution=no_change
[CHANGED] standard_name=cdaA gene | location=2227921-2228761(+) | final_gene=cdaA | final_product=cdaA gene | resolution=no_change
[UNCHANGED] standard_name=cdaA CDS | location=2227924-2228761(+) | final_gene=cdaA | final_product=Cyclic di-AMP synthase CdaA | resolution=no_change
[CHANGED] standard_name=isoprenyl transferase CDS | location=2229049-2229808(+) | final_gene=uppS | final_product=isoprenyl transferase | resolution=uniprot_product_to_gene:uppS:255,agdJ:15,uppS1:8,uppS2:8
[UNRESOLVED] standard_name=DUF3143 domain-containing protein CDS | location=2229965-2230238(-) | final_gene=unknown_gene | final_product=DUF3143 domain-containing protein | resolution=fallback_unknown_gene
[UNRESOLVED] standard_name=adenylate/guanylate cyclase domain-containing protein CDS | location=2230624-2232700(-) | final_gene=unknown_gene | final_product=adenylate/guanylate cyclase domain-containing protein | resolution=fallback_unknown_gene
[UNRESOLVED] standard_name=Rab family GTPase CDS | location=2232805-2233336(-) | final_gene=unknown_gene | final_product=Rab family GTPase | resolution=fallback_unknown_gene
[CHANGED] standard_name=tadA CDS | location=2234219-2234720(-) | final_gene=tadA | final_product=tRNA adenosine(34) deaminase TadA | resolution=no_change
[UNCHANGED] standard_name=ruvC CDS | location=2234938-2235502(-) | final_gene=ruvC | final_product=Crossover junction endodeoxyribonuclease RuvC | resolution=no_change
[CHANGED] standard_name=ruvC gene | location=2234938-2235502(-) | final_gene=ruvC | final_product=ruvC gene | resolution=no_change
[UNRESOLVED] standard_name=ABC1 kinase family protein CDS | location=2235504-2237220(-) | final_gene=unknown_gene | final_product=ABC1 kinase family protein | resolution=fallback_unknown_gene
[UNCHANGED] standard_name=eno CDS | location=2237991-2239287(+) | final_gene=eno | final_product=Enolase | resolution=no_change
[CHANGED] standard_name=eno gene | location=2237997-2239287(+) | final_gene=eno | final_product=eno gene | resolution=no_change
[UNRESOLVED] standard_name=CHASE2 domain-containing protein CDS | location=2239479-2241699(-) | final_gene=unknown_gene | final_product=CHASE2 domain-containing protein | resolution=fallback_unknown_gene
[UNRESOLVED] standard_name=AAA family ATPase CDS | location=2242332-2243886(-) | final_gene=unknown_gene | final_product=AAA family ATPase | resolution=fallback_unknown_gene
[CHANGED] standard_name=rplY CDS | location=2244117-2244417(-) | final_gene=rplY | final_product=50S ribosomal protein L25 | resolution=no_change
[UNRESOLVED] standard_name=adenylosuccinate synthase CDS | location=2244671-2245997(-) | final_gene=unknown_gene | final_product=adenylosuccinate synthase | resolution=fallback_unknown_gene
