standard_name	issue	gene_feature_gene	gene_feature_product	cds_feature_gene	cds_feature_product	final_gene	final_product	resolution
Npun F5749 family FMN-dependent PPOX-type flavoprotein CDS	resolution				Npun_F5749 family FMN-dependent PPOX-type flavoprotein	unknown_gene	Npun_F5749 family FMN-dependent PPOX-type flavoprotein	fallback_unknown_gene
DUF1565 domain-containing protein CDS	resolution				DUF1565 domain-containing protein	unknown_gene	DUF1565 domain-containing protein	fallback_unknown_gene
pentapeptide repeat-containing protein CDS	resolution				pentapeptide repeat-containing protein	unk5	pentapeptide repeat-containing protein	uniprot_product_to_gene:unk5:15
DUF4090 family protein CDS	resolution				DUF4090 family protein	unknown_gene	DUF4090 family protein	fallback_unknown_gene
Calvin cycle protein CP12 CDS	resolution				Calvin cycle protein CP12	unknown_gene	Calvin cycle protein CP12	fallback_unknown_gene
DUF2237 family protein CDS	resolution				DUF2237 family protein	unknown_gene	DUF2237 family protein	fallback_unknown_gene
sulfite oxidase-like oxidoreductase CDS	resolution				sulfite oxidase-like oxidoreductase	unknown_gene	sulfite oxidase-like oxidoreductase	fallback_unknown_gene
phycobiliprotein lyase CDS	resolution				phycobiliprotein lyase	cpcS1	phycobiliprotein lyase	uniprot_product_to_gene:cpcS1:1
YkgJ family cysteine cluster protein CDS	resolution				YkgJ family cysteine cluster protein	unknown_gene	YkgJ family cysteine cluster protein	fallback_unknown_gene
photosystem I assembly protein Ycf4 CDS	resolution				photosystem I assembly protein Ycf4	ycf4	photosystem I assembly protein Ycf4	uniprot_product_to_gene:ycf4:950,ycf:50
peptidylprolyl isomerase CDS	resolution				peptidylprolyl isomerase	prsA	peptidylprolyl isomerase	uniprot_product_to_gene:prsA:10,surA:5,tig:5
AI-2E family transporter CDS	resolution				AI-2E family transporter	unknown_gene	AI-2E family transporter	fallback_unknown_gene
chromophore lyase CpcT/CpeT CDS	resolution				chromophore lyase CpcT/CpeT	cpcT	chromophore lyase CpcT/CpeT	uniprot_product_to_gene:cpcT:870,cpcT1:32,cpcT2:17,cpeT:15,cpcT3:9
Phycocyanobilin lyase CpcT gene	resolution					unknown_gene	Phycocyanobilin lyase CpcT gene	fallback_unknown_gene
IS607 family transposase ISSoc2 CDS	resolution				IS607 family transposase ISSoc2	unknown_gene	IS607 family transposase ISSoc2	fallback_unknown_gene
tRNA-Trp gene	resolution					unknown_gene	tRNA-Trp gene	fallback_unknown_gene
response regulator CDS	resolution				response regulator	cheB	response regulator	uniprot_product_to_gene:cheB:18,nblR:6,ompR:6,phoB:6,mprA:3
ATP-binding protein CDS	resolution				ATP-binding protein	chlL	ATP-binding protein	uniprot_product_to_gene:chlL:348,pstB:39,bchL:36,pstB1:18,pstB2:18
Ycf34 family protein CDS	resolution				Ycf34 family protein	unknown_gene	Ycf34 family protein	fallback_unknown_gene
PLP-dependent aspartate aminotransferase family protein CDS	resolution				PLP-dependent aspartate aminotransferase family protein	unknown_gene	PLP-dependent aspartate aminotransferase family protein	fallback_unknown_gene
alpha/beta fold hydrolase CDS	resolution				alpha/beta fold hydrolase	unknown_gene	alpha/beta fold hydrolase	fallback_unknown_gene
PilT/PilU family type 4a pilus ATPase CDS	resolution				PilT/PilU family type 4a pilus ATPase	unknown_gene	PilT/PilU family type 4a pilus ATPase	fallback_unknown_gene
M42 family metallopeptidase CDS	resolution				M42 family metallopeptidase	unknown_gene	M42 family metallopeptidase	fallback_unknown_gene
M23 family metallopeptidase CDS	resolution				M23 family metallopeptidase	unknown_gene	M23 family metallopeptidase	fallback_unknown_gene
PAS domain S-box protein CDS	resolution				PAS domain S-box protein	unknown_gene	PAS domain S-box protein	fallback_unknown_gene
DNA cytosine methyltransferase CDS	resolution				DNA cytosine methyltransferase	unknown_gene	DNA cytosine methyltransferase	fallback_unknown_gene
DUF427 domain-containing protein CDS	resolution				DUF427 domain-containing protein	unknown_gene	DUF427 domain-containing protein	fallback_unknown_gene
nucleoside recognition domain-containing protein CDS	resolution				nucleoside recognition domain-containing protein	unknown_gene	nucleoside recognition domain-containing protein	fallback_unknown_gene
UPF0182 family protein CDS	resolution				UPF0182 family protein	unknown_gene	UPF0182 family protein	fallback_unknown_gene
Hsp20/alpha crystallin family protein CDS	resolution				Hsp20/alpha crystallin family protein	hspA	Hsp20/alpha crystallin family protein	uniprot_product_to_gene:hspA:5
Uma2 family endonuclease CDS	resolution				Uma2 family endonuclease	unknown_gene	Uma2 family endonuclease	fallback_unknown_gene
Uma2 family endonuclease CDS	resolution				Uma2 family endonuclease	unknown_gene	Uma2 family endonuclease	fallback_unknown_gene
choice-of-anchor E domain-containing protein CDS	resolution				choice-of-anchor E domain-containing protein	unknown_gene	choice-of-anchor E domain-containing protein	fallback_unknown_gene
DUF1823 family protein CDS	resolution				DUF1823 family protein	unknown_gene	DUF1823 family protein	fallback_unknown_gene
ATP-binding protein CDS	resolution				ATP-binding protein	chlL	ATP-binding protein	uniprot_product_to_gene:chlL:348,pstB:39,bchL:36,pstB1:18,pstB2:18
tetratricopeptide repeat protein CDS	resolution				tetratricopeptide repeat protein	fxsT	tetratricopeptide repeat protein	uniprot_product_to_gene:fxsT:3
ChaN family lipoprotein CDS	resolution				ChaN family lipoprotein	unknown_gene	ChaN family lipoprotein	fallback_unknown_gene
hemolysin family protein CDS	resolution				hemolysin family protein	unknown_gene	hemolysin family protein	fallback_unknown_gene
Rpn family recombination-promoting nuclease/putative transposase CDS	resolution				Rpn family recombination-promoting nuclease/putative transposase	unknown_gene	Rpn family recombination-promoting nuclease/putative transposase	fallback_unknown_gene
PepSY-associated TM helix domain-containing protein CDS	resolution				PepSY-associated TM helix domain-containing protein	unknown_gene	PepSY-associated TM helix domain-containing protein	fallback_unknown_gene
YajQ family cyclic di-GMP-binding protein CDS	resolution				YajQ family cyclic di-GMP-binding protein	unknown_gene	YajQ family cyclic di-GMP-binding protein	fallback_unknown_gene
MAPEG family protein CDS	resolution				MAPEG family protein	unknown_gene	MAPEG family protein	fallback_unknown_gene
DNA-processing protein DprA CDS	resolution				DNA-processing protein DprA	dprA	DNA-processing protein DprA	uniprot_product_to_gene:dprA:350
CGLD27 family protein CDS	resolution				CGLD27 family protein	unknown_gene	CGLD27 family protein	fallback_unknown_gene
asparaginase CDS	resolution				asparaginase	yccC	asparaginase	uniprot_product_to_gene:yccC:5
DUF29 domain-containing protein CDS	resolution				DUF29 domain-containing protein	unknown_gene	DUF29 domain-containing protein	fallback_unknown_gene
DUF29 domain-containing protein CDS	resolution				DUF29 domain-containing protein	unknown_gene	DUF29 domain-containing protein	fallback_unknown_gene
Uma2 family endonuclease CDS	resolution				Uma2 family endonuclease	unknown_gene	Uma2 family endonuclease	fallback_unknown_gene
Uma2 family endonuclease CDS	resolution				Uma2 family endonuclease	unknown_gene	Uma2 family endonuclease	fallback_unknown_gene
class I SAM-dependent methyltransferase CDS	resolution				class I SAM-dependent methyltransferase	unknown_gene	class I SAM-dependent methyltransferase	fallback_unknown_gene
EndoU domain-containing protein CDS	resolution				EndoU domain-containing protein	unknown_gene	EndoU domain-containing protein	fallback_unknown_gene
tRNA-Arg gene	resolution					unknown_gene	tRNA-Arg gene	fallback_unknown_gene
Npun F0813 family protein CDS	resolution				Npun_F0813 family protein	unknown_gene	Npun_F0813 family protein	fallback_unknown_gene
polysaccharide deacetylase family protein CDS	resolution				polysaccharide deacetylase family protein	unknown_gene	polysaccharide deacetylase family protein	fallback_unknown_gene
FAD-dependent oxidoreductase CDS	resolution				FAD-dependent oxidoreductase	unknown_gene	FAD-dependent oxidoreductase	fallback_unknown_gene
2Fe-2S iron-sulfur cluster-binding protein CDS	resolution				2Fe-2S iron-sulfur cluster-binding protein	unknown_gene	2Fe-2S iron-sulfur cluster-binding protein	fallback_unknown_gene
DUF2499 domain-containing protein CDS	resolution				DUF2499 domain-containing protein	unknown_gene	DUF2499 domain-containing protein	fallback_unknown_gene
PEP-CTERM sorting domain-containing protein CDS	resolution				PEP-CTERM sorting domain-containing protein	unknown_gene	PEP-CTERM sorting domain-containing protein	fallback_unknown_gene
sensor histidine kinase CDS	resolution	sasA 29		sasA 29	sensor histidine kinase	sasA	sensor histidine kinase	uniprot_product_to_gene:sasA:152,hik2:6,rppB:3
cysteine desulfurase family protein CDS	resolution				cysteine desulfurase family protein	unknown_gene	cysteine desulfurase family protein	fallback_unknown_gene
TSUP family transporter CDS	resolution				TSUP family transporter	unknown_gene	TSUP family transporter	fallback_unknown_gene
MotA/TolQ/ExbB proton channel family protein CDS	resolution				MotA/TolQ/ExbB proton channel family protein	unknown_gene	MotA/TolQ/ExbB proton channel family protein	fallback_unknown_gene
RNA recognition motif domain-containing protein CDS	resolution				RNA recognition motif domain-containing protein	unknown_gene	RNA recognition motif domain-containing protein	fallback_unknown_gene
glycosyltransferase family 4 protein CDS	resolution				glycosyltransferase family 4 protein	unknown_gene	glycosyltransferase family 4 protein	fallback_unknown_gene
DUF1997 domain-containing protein CDS	resolution				DUF1997 domain-containing protein	unknown_gene	DUF1997 domain-containing protein	fallback_unknown_gene
M14 family metallopeptidase CDS	resolution				M14 family metallopeptidase	unknown_gene	M14 family metallopeptidase	fallback_unknown_gene
ATP-dependent Clp protease ATP-binding subunit CDS	resolution				ATP-dependent Clp protease ATP-binding subunit	clpX	ATP-dependent Clp protease ATP-binding subunit	uniprot_product_to_gene:clpX:588,clpC:3,clpX1:3,clpX2:3
banIR gene	resolution					unknown_gene	banIR gene	fallback_unknown_gene
SRPBCC family protein CDS	resolution				SRPBCC family protein	unknown_gene	SRPBCC family protein	fallback_unknown_gene
tRNA-Ala gene	resolution					unknown_gene	tRNA-Ala gene	fallback_unknown_gene
GNAT family N-acetyltransferase CDS	resolution				GNAT family N-acetyltransferase	unknown_gene	GNAT family N-acetyltransferase	fallback_unknown_gene
STAS domain-containing protein CDS	resolution				STAS domain-containing protein	unknown_gene	STAS domain-containing protein	fallback_unknown_gene
beta strand repeat-containing protein CDS	resolution				beta strand repeat-containing protein	unknown_gene	beta strand repeat-containing protein	fallback_unknown_gene
prolyl oligopeptidase family serine peptidase CDS	resolution				prolyl oligopeptidase family serine peptidase	unknown_gene	prolyl oligopeptidase family serine peptidase	fallback_unknown_gene
transglycosylase domain-containing protein CDS	resolution				transglycosylase domain-containing protein	unknown_gene	transglycosylase domain-containing protein	fallback_unknown_gene
PhzF family phenazine biosynthesis protein CDS	resolution				PhzF family phenazine biosynthesis protein	unknown_gene	PhzF family phenazine biosynthesis protein	fallback_unknown_gene
glycosyltransferase family 2 protein CDS	resolution				glycosyltransferase family 2 protein	unknown_gene	glycosyltransferase family 2 protein	fallback_unknown_gene
glycosyltransferase family 2 protein CDS	resolution				glycosyltransferase family 2 protein	unknown_gene	glycosyltransferase family 2 protein	fallback_unknown_gene
Crp/Fnr family transcriptional regulator CDS	resolution				Crp/Fnr family transcriptional regulator	unknown_gene	Crp/Fnr family transcriptional regulator	fallback_unknown_gene
Uma2 family endonuclease CDS	resolution				Uma2 family endonuclease	unknown_gene	Uma2 family endonuclease	fallback_unknown_gene
DUF262 domain-containing protein CDS	resolution				DUF262 domain-containing protein	unknown_gene	DUF262 domain-containing protein	fallback_unknown_gene
winged helix-turn-helix transcriptional regulator CDS	resolution				winged helix-turn-helix transcriptional regulator	unknown_gene	winged helix-turn-helix transcriptional regulator	fallback_unknown_gene
flavodoxin family protein CDS	resolution				flavodoxin family protein	unknown_gene	flavodoxin family protein	fallback_unknown_gene
IS1 family transposase CDS	resolution				IS1 family transposase	unknown_gene	IS1 family transposase	fallback_unknown_gene
DUF1993 domain-containing protein CDS	resolution				DUF1993 domain-containing protein	unknown_gene	DUF1993 domain-containing protein	fallback_unknown_gene
SAM-dependent methyltransferase cobl CDS	resolution				SAM-dependent methyltransferase	mysB	SAM-dependent methyltransferase	uniprot_product_to_gene:mysB:5
precorrin-8X methylmutase cobH 1 CDS	resolution				precorrin-8X methylmutase	cobH	precorrin-8X methylmutase	uniprot_product_to_gene:cobH:70,cbiC1:5,cbiC:1
carbonic anhydrase CDS	resolution				carbonic anhydrase	ecaB	carbonic anhydrase	uniprot_product_to_gene:ecaB:35,ecaA:30,mtcA2:30,cah:15,ccaA:10
GDSL-type esterase/lipase family protein CDS	resolution				GDSL-type esterase/lipase family protein	unknown_gene	GDSL-type esterase/lipase family protein	fallback_unknown_gene
ammonium transporter CDS	resolution				ammonium transporter	amt	ammonium transporter	uniprot_product_to_gene:amt:80,amtB:35,amt1:15,nrgA:10
pentapeptide repeat-containing protein CDS	resolution				pentapeptide repeat-containing protein	unk5	pentapeptide repeat-containing protein	uniprot_product_to_gene:unk5:15
S-methyl-5'-thioadenosine phosphorylase CDS	resolution				S-methyl-5'-thioadenosine phosphorylase	mtnP	S-methyl-5'-thioadenosine phosphorylase	uniprot_product_to_gene:mtnP:970,mtaP:20
glycosyltransferase CDS	resolution				glycosyltransferase	ftsW	glycosyltransferase	uniprot_product_to_gene:ftsW:78,spoVE:3
TVP38/TMEM64 family protein CDS	resolution				TVP38/TMEM64 family protein	unknown_gene	TVP38/TMEM64 family protein	fallback_unknown_gene
glycosyltransferase CDS	resolution				glycosyltransferase	ftsW	glycosyltransferase	uniprot_product_to_gene:ftsW:78,spoVE:3
prolyl oligopeptidase family protein CDS	resolution				prolyl oligopeptidase family protein	unknown_gene	prolyl oligopeptidase family protein	fallback_unknown_gene
ATP-dependent Clp protease proteolytic subunit CDS	resolution				ATP-dependent Clp protease proteolytic subunit	clpP	ATP-dependent Clp protease proteolytic subunit	uniprot_product_to_gene:clpP:695,clpP1:56,clpP2:56,clpP3:36,clpR:6
ATP-dependent Clp protease proteolytic subunit CDS	resolution				ATP-dependent Clp protease proteolytic subunit	clpP	ATP-dependent Clp protease proteolytic subunit	uniprot_product_to_gene:clpP:695,clpP1:56,clpP2:56,clpP3:36,clpR:6
DnaJ domain-containing protein CDS	resolution				DnaJ domain-containing protein	unknown_gene	DnaJ domain-containing protein	fallback_unknown_gene
alanine--glyoxylate aminotransferase family protein CDS	resolution				alanine--glyoxylate aminotransferase family protein	unknown_gene	alanine--glyoxylate aminotransferase family protein	fallback_unknown_gene
Magnesium transporter MgtE CDS	resolution				Magnesium transporter MgtE	mgtE	Magnesium transporter MgtE	uniprot_product_to_gene:mgtE:575,mgtE2:5
protein kinase CDS	resolution				protein kinase	spkB	protein kinase	uniprot_product_to_gene:spkB:24,cpsD:9,ywqD:6,pknA:3,prkC:3
sensor histidine kinase CDS	resolution				sensor histidine kinase	sasA	sensor histidine kinase	uniprot_product_to_gene:sasA:152,hik2:6,rppB:3
winged helix-turn-helix transcriptional regulator CDS	resolution				winged helix-turn-helix transcriptional regulator	unknown_gene	winged helix-turn-helix transcriptional regulator	fallback_unknown_gene
energy-coupling factor ABC transporter ATP-binding protein CDS	resolution				energy-coupling factor ABC transporter ATP-binding protein	unknown_gene	energy-coupling factor ABC transporter ATP-binding protein	fallback_unknown_gene
aspartate-semialdehyde dehydrogenase CDS	resolution				aspartate-semialdehyde dehydrogenase	asd	aspartate-semialdehyde dehydrogenase	uniprot_product_to_gene:asd:990
trxA 2 CDS	resolution			trxA_2	Thioredoxin	ftrC	Thioredoxin	uniprot_product_to_gene:ftrC:69,bcp:45,trxA:14,PRXQ:6,ftrV:6
LOG family protein CDS	resolution				LOG family protein	unknown_gene	LOG family protein	fallback_unknown_gene
class II aldolase/adducin family protein CDS	resolution				class II aldolase/adducin family protein	sgaE	class II aldolase/adducin family protein	uniprot_product_to_gene:sgaE:5
murein hydrolase activator EnvC CDS	resolution				murein hydrolase activator EnvC	unknown_gene	murein hydrolase activator EnvC	fallback_unknown_gene
DUF3226 domain-containing protein CDS	resolution				DUF3226 domain-containing protein	unknown_gene	DUF3226 domain-containing protein	fallback_unknown_gene
ATP/GTP-binding protein CDS	resolution				ATP/GTP-binding protein	unknown_gene	ATP/GTP-binding protein	fallback_unknown_gene
Dps family protein CDS	resolution				Dps family protein	dps	Dps family protein	uniprot_product_to_gene:dps:12,dpsA:3
SpoIID/LytB domain-containing protein CDS	resolution				SpoIID/LytB domain-containing protein	unknown_gene	SpoIID/LytB domain-containing protein	fallback_unknown_gene
ATP-dependent zinc metalloprotease FtsH CDS	resolution			ftsH_2	ATP-dependent zinc metalloprotease FtsH	ftsH	ATP-dependent zinc metalloprotease FtsH	uniprot_product_to_gene:ftsH:565,hflB:160,ftsH4:23,ftsH2:18,ftsH3:8
ankyrin repeat domain-containing protein CDS	resolution				ankyrin repeat domain-containing protein	unknown_gene	ankyrin repeat domain-containing protein	fallback_unknown_gene
ArnT family glycosyltransferase CDS	resolution				ArnT family glycosyltransferase	unknown_gene	ArnT family glycosyltransferase	fallback_unknown_gene
DnaJ C-terminal domain-containing protein CDS	resolution				DnaJ C-terminal domain-containing protein	unknown_gene	DnaJ C-terminal domain-containing protein	fallback_unknown_gene
peptidase C15 CDS	resolution				peptidase C15	unknown_gene	peptidase C15	fallback_unknown_gene
ATP-binding cassette domain-containing protein CDS	resolution				ATP-binding cassette domain-containing protein	unknown_gene	ATP-binding cassette domain-containing protein	fallback_unknown_gene
HlyD family efflux transporter periplasmic adaptor subunit CDS	resolution				HlyD family efflux transporter periplasmic adaptor subunit	unknown_gene	HlyD family efflux transporter periplasmic adaptor subunit	fallback_unknown_gene
TetR/AcrR family transcriptional regulator CDS	resolution				TetR/AcrR family transcriptional regulator	unknown_gene	TetR/AcrR family transcriptional regulator	fallback_unknown_gene
glycogen debranching protein CDS	resolution				glycogen debranching protein	glgX	glycogen debranching protein	uniprot_product_to_gene:glgX:5
OmpA family protein CDS	resolution				OmpA family protein	unknown_gene	OmpA family protein	fallback_unknown_gene
Rab family GTPase CDS	resolution				Rab family GTPase	unknown_gene	Rab family GTPase	fallback_unknown_gene
2-phosphosulfolactate phosphatase family protein CDS	resolution				2-phosphosulfolactate phosphatase family protein	unknown_gene	2-phosphosulfolactate phosphatase family protein	fallback_unknown_gene
Crp/Fnr family transcriptional regulator CDS	resolution				Crp/Fnr family transcriptional regulator	unknown_gene	Crp/Fnr family transcriptional regulator	fallback_unknown_gene
M61 family metallopeptidase CDS	resolution				M61 family metallopeptidase	unknown_gene	M61 family metallopeptidase	fallback_unknown_gene
phycobilisome linker polypeptide CDS	resolution				phycobilisome linker polypeptide	unknown_gene	phycobilisome linker polypeptide	fallback_unknown_gene
phycobilisome rod-core linker polypeptide CDS	resolution				phycobilisome rod-core linker polypeptide	cpcG	phycobilisome rod-core linker polypeptide	uniprot_product_to_gene:cpcG:34,cpcG2:14,cpcG1:9,cpcG3:6,cpcG4:6
phycocyanin subunit beta CDS	resolution				phycocyanin subunit beta	cpcB	phycocyanin subunit beta	uniprot_product_to_gene:cpcB:38
YbhN family protein CDS	resolution				YbhN family protein	unknown_gene	YbhN family protein	fallback_unknown_gene
Npun R2479 family HD domain-containing metalloprotein CDS	resolution				Npun_R2479 family HD domain-containing metalloprotein	unknown_gene	Npun_R2479 family HD domain-containing metalloprotein	fallback_unknown_gene
photosystem II manganese-stabilizing polypeptide CDS	resolution				photosystem II manganese-stabilizing polypeptide	psbO	photosystem II manganese-stabilizing polypeptide	uniprot_product_to_gene:psbO:50
aminotransferase class I/II-fold pyridoxal phosphate-dependent enzyme CDS	resolution				aminotransferase class I/II-fold pyridoxal phosphate-dependent enzyme	unknown_gene	aminotransferase class I/II-fold pyridoxal phosphate-dependent enzyme	fallback_unknown_gene
DUF3326 domain-containing protein CDS	resolution				DUF3326 domain-containing protein	unknown_gene	DUF3326 domain-containing protein	fallback_unknown_gene
lysostaphin resistance A-like protein CDS	resolution				lysostaphin resistance A-like protein	unknown_gene	lysostaphin resistance A-like protein	fallback_unknown_gene
LON peptidase substrate-binding domain-containing protein CDS	resolution				LON peptidase substrate-binding domain-containing protein	unknown_gene	LON peptidase substrate-binding domain-containing protein	fallback_unknown_gene
CatB-related O-acetyltransferase CDS	resolution				CatB-related O-acetyltransferase	unknown_gene	CatB-related O-acetyltransferase	fallback_unknown_gene
Gfo/Idh/MocA family protein CDS	resolution				Gfo/Idh/MocA family protein	unknown_gene	Gfo/Idh/MocA family protein	fallback_unknown_gene
2Fe-2S iron-sulfur cluster-binding protein CDS	resolution				2Fe-2S iron-sulfur cluster-binding protein	unknown_gene	2Fe-2S iron-sulfur cluster-binding protein	fallback_unknown_gene
ABC transporter ATP-binding protein CDS	resolution				ABC transporter ATP-binding protein	cbiO	ABC transporter ATP-binding protein	uniprot_product_to_gene:cbiO:20,yfmR:18,salX:12,hlyB:6,ecfA1:5
sulfurtransferase CDS	resolution				sulfurtransferase	moeB	sulfurtransferase	uniprot_product_to_gene:moeB:123,moeZ:48,rhdA:8,iscS3:3,mnmA:3
Fur family transcriptional regulator CDS	resolution				Fur family transcriptional regulator	unknown_gene	Fur family transcriptional regulator	fallback_unknown_gene
CDGSH iron-sulfur domain-containing protein CDS	resolution				CDGSH iron-sulfur domain-containing protein	unknown_gene	CDGSH iron-sulfur domain-containing protein	fallback_unknown_gene
pirin family protein CDS	resolution				pirin family protein	unknown_gene	pirin family protein	fallback_unknown_gene
YggT family protein CDS	resolution				YggT family protein	yggT	YggT family protein	uniprot_product_to_gene:yggT:5
DUF3685 domain-containing protein CDS	resolution				DUF3685 domain-containing protein	unknown_gene	DUF3685 domain-containing protein	fallback_unknown_gene
S-layer homology domain-containing protein CDS	resolution				S-layer homology domain-containing protein	unknown_gene	S-layer homology domain-containing protein	fallback_unknown_gene
IS1 family transposase ISBeg2 CDS	resolution				IS1 family transposase ISBeg2	unknown_gene	IS1 family transposase ISBeg2	fallback_unknown_gene
mshA 8 CDS	resolution			mshA_8	D-inositol-3-phosphate glycosyltransferase	mshA	D-inositol-3-phosphate glycosyltransferase	uniprot_product_to_gene:mshA:35
nucleotidyltransferase family protein CDS	resolution				nucleotidyltransferase family protein	unknown_gene	nucleotidyltransferase family protein	fallback_unknown_gene
sensor histidine kinase CDS	resolution				sensor histidine kinase	sasA	sensor histidine kinase	uniprot_product_to_gene:sasA:152,hik2:6,rppB:3
FIST signal transduction protein CDS	resolution				FIST signal transduction protein	unknown_gene	FIST signal transduction protein	fallback_unknown_gene
DUF3365 domain-containing protein CDS	resolution				DUF3365 domain-containing protein	unknown_gene	DUF3365 domain-containing protein	fallback_unknown_gene
ArsR/SmtB family transcription factor CDS	resolution				ArsR/SmtB family transcription factor	unknown_gene	ArsR/SmtB family transcription factor	fallback_unknown_gene
NAD(P)/FAD-dependent oxidoreductase CDS	resolution				NAD(P)/FAD-dependent oxidoreductase	unknown_gene	NAD(P)/FAD-dependent oxidoreductase	fallback_unknown_gene
DUF302 domain-containing protein CDS	resolution				DUF302 domain-containing protein	unknown_gene	DUF302 domain-containing protein	fallback_unknown_gene
arsenic resistance protein CDS	resolution				arsenic resistance protein	acr3	arsenic resistance protein	uniprot_product_to_gene:acr3:5
VWA domain-containing protein CDS	resolution				VWA domain-containing protein	unknown_gene	VWA domain-containing protein	fallback_unknown_gene
type II toxin-antitoxin system VapC family toxin CDS	resolution				type II toxin-antitoxin system VapC family toxin	unknown_gene	type II toxin-antitoxin system VapC family toxin	fallback_unknown_gene
HEPN domain-containing protein CDS	resolution				HEPN domain-containing protein	unknown_gene	HEPN domain-containing protein	fallback_unknown_gene
nucleotidyltransferase domain-containing protein CDS	resolution				nucleotidyltransferase domain-containing protein	unknown_gene	nucleotidyltransferase domain-containing protein	fallback_unknown_gene
Uma2 family endonuclease CDS	resolution				Uma2 family endonuclease	unknown_gene	Uma2 family endonuclease	fallback_unknown_gene
urease accessory protein UreF CDS	resolution				urease accessory protein UreF	ureF	urease accessory protein UreF	uniprot_product_to_gene:ureF:995
glycosyltransferase family 2 protein CDS	resolution				glycosyltransferase family 2 protein	unknown_gene	glycosyltransferase family 2 protein	fallback_unknown_gene
ATP-binding cassette domain-containing protein CDS	resolution				ATP-binding cassette domain-containing protein	unknown_gene	ATP-binding cassette domain-containing protein	fallback_unknown_gene
psaK 1 CDS	resolution			psaK_1	Photosystem I reaction center subunit PsaK	psaK	Photosystem I reaction center subunit PsaK	uniprot_product_to_gene:psaK:905,psaK2:46,psaK1:31
DUF2079 domain-containing protein CDS	resolution				DUF2079 domain-containing protein	unknown_gene	DUF2079 domain-containing protein	fallback_unknown_gene
septum formation initiator family protein CDS	resolution				septum formation initiator family protein	unknown_gene	septum formation initiator family protein	fallback_unknown_gene
peptide chain release factor 1 CDS	resolution				peptide chain release factor 1	prfA	peptide chain release factor 1	uniprot_product_to_gene:prfA:1000
pstB 2 CDS	resolution			pstB_2	Phosphate import ATP-binding protein PstB	pstB	Phosphate import ATP-binding protein PstB	uniprot_product_to_gene:pstB:133,pstB2:33,pstB1:24,pstB3:21,pstB4:3
PstS family phosphate ABC transporter substrate-binding protein CDS	resolution				PstS family phosphate ABC transporter substrate-binding protein	unknown_gene	PstS family phosphate ABC transporter substrate-binding protein	fallback_unknown_gene
ExbD/TolR family protein CDS	resolution				ExbD/TolR family protein	exbD	ExbD/TolR family protein	uniprot_product_to_gene:exbD:3
ExbD/TolR family protein CDS	resolution				ExbD/TolR family protein	exbD	ExbD/TolR family protein	uniprot_product_to_gene:exbD:3
FAD-dependent oxidoreductase CDS	resolution				FAD-dependent oxidoreductase	unknown_gene	FAD-dependent oxidoreductase	fallback_unknown_gene
Ppx/GppA phosphatase family protein CDS	resolution				Ppx/GppA phosphatase family protein	ppX	Ppx/GppA phosphatase family protein	uniprot_product_to_gene:ppX:5
FHA domain-containing protein CDS	resolution				FHA domain-containing protein	unknown_gene	FHA domain-containing protein	fallback_unknown_gene
DUF1815 family protein CDS	resolution				DUF1815 family protein	unknown_gene	DUF1815 family protein	fallback_unknown_gene
DUF2839 domain-containing protein CDS	resolution				DUF2839 domain-containing protein	unknown_gene	DUF2839 domain-containing protein	fallback_unknown_gene
ATP-dependent DNA helicase CDS	resolution				ATP-dependent DNA helicase	pcrA	ATP-dependent DNA helicase	uniprot_product_to_gene:pcrA:665,recG:30,uvrD:5,recQ:3
Photosystem II lipoprotein Psb27 CDS	resolution				Photosystem II lipoprotein Psb27	psb	Photosystem II lipoprotein Psb27	uniprot_product_to_gene:psb:5,psbZ:5
biotin transporter BioY CDS	resolution				biotin transporter BioY	unknown_gene	biotin transporter BioY	fallback_unknown_gene
DsbA family protein CDS	resolution				DsbA family protein	unknown_gene	DsbA family protein	fallback_unknown_gene
N-acetylmuramoyl-L-alanine amidase CDS	resolution				N-acetylmuramoyl-L-alanine amidase	amiA	N-acetylmuramoyl-L-alanine amidase	uniprot_product_to_gene:amiA:10
TetR/AcrR family transcriptional regulator CDS	resolution				TetR/AcrR family transcriptional regulator	unknown_gene	TetR/AcrR family transcriptional regulator	fallback_unknown_gene
efflux RND transporter periplasmic adaptor subunit CDS	resolution				efflux RND transporter periplasmic adaptor subunit	unknown_gene	efflux RND transporter periplasmic adaptor subunit	fallback_unknown_gene
Macrolide export ATP-binding/permease protein MacB CDS	resolution			macB_3	Macrolide export ATP-binding/permease protein MacB	macB	Macrolide export ATP-binding/permease protein MacB	uniprot_product_to_gene:macB:50
Macrolide export ATP-binding/permease protein MacB gene	resolution					unknown_gene	Macrolide export ATP-binding/permease protein MacB gene	fallback_unknown_gene
ABC transporter ATP-binding protein CDS	resolution				ABC transporter ATP-binding protein	cbiO	ABC transporter ATP-binding protein	uniprot_product_to_gene:cbiO:20,yfmR:18,salX:12,hlyB:6,ecfA1:5
SH3 domain-containing protein CDS	resolution				SH3 domain-containing protein	unknown_gene	SH3 domain-containing protein	fallback_unknown_gene
replication restart DNA helicase PriA CDS	resolution				replication restart DNA helicase PriA	unknown_gene	replication restart DNA helicase PriA	fallback_unknown_gene
KH domain-containing protein CDS	resolution				KH domain-containing protein	unknown_gene	KH domain-containing protein	fallback_unknown_gene
